PropertyName,multipolygon
A Philip Randolph Square,"MULTIPOLYGON (((-73.95259957403074 40.804045279184, -73.95259961026119 40.80404432647128, -73.95259960026954 40.80404338004302, -73.95259955235582 40.80404243359917, -73.95259945822386 40.804041488036816, -73.95259893479917 40.804030977200554, -73.95259875488138 40.8040273508182, -73.95259742648419 40.80400063877845, -73.95257356801143 40.80352099000864, -73.95257334342816 40.80352017946736, -73.95257308328733 40.80351937701591, -73.95257278759354 40.803518576350825, -73.95257245633651 40.803517791880076, -73.9525720895265 40.803517009195694, -73.95257168715324 40.8035162427057, -73.9525712480362 40.80351548610604, -73.95257077573112 40.80351473849775, -73.95257026668224 40.80351400077977, -73.95256972325456 40.80351328015715, -73.95256915374281 40.803512577533745, -73.95256854985738 40.803511884801736, -73.95256791158802 40.80351121636898, -73.95256724842474 40.803510558732, -73.95256655917676 40.80350991999476, -73.95256582725457 40.803509298349425, -73.95256507990806 40.80350870281222, -73.95256429937224 40.803508118067306, -73.95256349393166 40.803507559426606, -73.95256267425762 40.80350701879007, -73.95256181190229 40.8035065051509, -73.95256094597895 40.80350600952022, -73.95256004566971 40.80350554089035, -73.95255912282579 40.80350509836566, -73.95255818693217 40.80350467564656, -73.95255722731886 40.803504279032154, -73.95255625465124 40.80350390852686, -73.95255526063791 40.80350355872424, -73.9525542535652 40.803503242234655, -73.95255323462267 40.80350295275517, -73.95255220381547 40.80350268308179, -73.95255116113337 40.803502447622385, -73.95255010658589 40.80350223286962, -73.95254904016412 40.803502051430414, -73.95254797253739 40.803501897906166, -73.95254689541093 40.80350177139295, -73.95254581589514 40.80350167189371, -73.9525447256888 40.80350160750951, -73.9525436366534 40.803501562936745, -73.95254254640855 40.803501552582446, -73.95254145614376 40.80350157014358, -73.95254036585973 40.803501614719615, -73.95253928622196 40.80350168631503, -73.95253819708385 40.803501785822014, -73.95253712925233 40.803501919556666, -73.95253605192555 40.8035020739989, -73.95253499590606 40.80350226176836, -73.9525339410517 40.80350247745375, -73.95253289802862 40.80350272015894, -73.9525318668369 40.80350298988392, -73.95253084866147 40.80350328662928, -73.95252984113226 40.80350361039397, -73.95252885610051 40.80350396028237, -73.95252788409024 40.803504329987106, -73.95252693457164 40.80350473392004, -73.95252599925959 40.80350515766979, -73.95252507577943 40.803505607538895, -73.95252418546224 40.80350608353607, -73.95252330935217 40.80350657844958, -73.9525224664096 40.80350709318775, -73.9525216364795 40.8035076403492, -73.95252083142725 40.803508199227366, -73.95252006072297 40.80350878423416, -73.95251931370697 40.803509387260675, -73.95251859037923 40.80351000830694, -73.95251790259032 40.80351064737778, -73.95251724915457 40.80351130537325, -73.9525166099273 40.80351198048404, -73.95251601571925 40.80351267362338, -73.95251544638523 40.803513383882375, -73.9525149125958 40.803514104061556, -73.952414015502 40.80365356412567, -73.95235863977179 40.803730105260975, -73.95223340044271 40.80389816754702, -73.95223260477981 40.80389884349187, -73.9522318339851 40.803899544660986, -73.95223109872872 40.80390026475529, -73.95223038834571 40.8039010028699, -73.95222972298221 40.803901759013144, -73.9522290836772 40.803902533177144, -73.95222848939157 40.80390332536974, -73.95222792117029 40.803904127478624, -73.95222739915482 40.803904945815674, -73.95222691267767 40.803905783077916, -73.95222646174598 40.80390662935984, -73.95222605702527 40.80390748466589, -73.95222568785003 40.8039083489917, -73.95222535658449 40.80390923044269, -73.95222506087022 40.803910112808914, -73.95222481136632 40.803911005099756, -73.95222460807476 40.80391190461372, -73.95222444033445 40.80391280504294, -73.95222431050969 40.80391371449288, -73.95222422690242 40.80391462396198, -73.95222418003212 40.803915533446244, -73.95222417937866 40.80391644385016, -73.95222422494338 40.8039173533728, -73.95222430724503 40.80391826291064, -73.95222442509927 40.8039191715627, -73.95222459036124 40.803920073030454, -73.95222479236146 40.803920972712376, -73.95222504058438 40.803921865209496, -73.95222533503193 40.8039227478203, -73.95222565555666 40.80392362233741, -73.95222602230086 40.80392449417216, -73.95222643527356 40.80392535071759, -73.95222687432475 40.80392619736838, -73.9522273596006 40.803927034132805, -73.95222788044065 40.80392785380253, -73.95222844751044 40.803928656381885, -73.95222904065884 40.80392944906652, -73.95222966818702 40.80393022375548, -73.95223034194558 40.803930980453615, -73.95223104060283 40.803931720052596, -73.95223177482559 40.80393244075584, -73.95223254461385 40.80393314256335, -73.95223333930139 40.80393382637114, -73.95223416837456 40.80393448407875, -73.95223503183266 40.80393511658665, -73.95223592018621 40.80393573649786, -73.95223683226497 40.80393632310042, -73.95223776924429 40.803936889902346, -73.9522387394242 40.80393743060354, -73.95223973450985 40.80393794430008, -73.95254677473788 40.80406832913947, -73.95254788957797 40.80406876093728, -73.95254902577435 40.80406915762438, -73.95255017621655 40.804069519197895, -73.95255134800918 40.80406985376525, -73.95255253285814 40.80407015952199, -73.95255372958216 40.80407043106464, -73.95255493817741 40.80407067379623, -73.95255615864254 40.80407088951769, -73.95255738032358 40.80407106201577, -73.95255861269014 40.80407120660272, -73.95255985574222 40.804071323278585, -73.95256110119456 40.80407139763203, -73.95256234547726 40.80407145037297, -73.95256360045569 40.80407146079491, -73.95256484597351 40.80407144329745, -73.95256609033193 40.80407138977955, -73.95256734419075 40.804071308350046, -73.95256857911359 40.80407119179332, -73.95256981169122 40.80407104011621, -73.95257104310375 40.80407086052312, -73.95257225321072 40.804070644901294, -73.9525734621525 40.80407040136349, -73.95257465926863 40.80407012270141, -73.95257584337337 40.80406980981497, -73.95257700616231 40.80406947530782, -73.9525781559399 40.80406910657632, -73.95257929270676 40.80406870272, -73.95258040697723 40.80406827093898, -73.95258149875066 40.80406781213372, -73.95258257632257 40.80406732630765, -73.95258362073179 40.80406681345301, -73.95258465094012 40.804066272677, -73.95258564680516 40.80406569856842, -73.95258661898369 40.80406510373863, -73.95258756747882 40.8040644836851, -73.95258848162172 40.80406384290601, -73.95258937090134 40.80406316969873, -73.95259022463792 40.804062483869785, -73.95259105351177 40.80406176471224, -73.95259183736086 40.80406103473014, -73.95259259634204 40.80406027862334, -73.9525933197841 40.80405950449194, -73.95259400768698 40.804058712335944, -73.95259465886562 40.80405790215489, -73.95259527569014 40.80405707394969, -73.95259584630922 40.80405622861608, -73.95259638019895 40.804055372461335, -73.95259687854822 40.804054500083, -73.95259734016744 40.804053617784106, -73.95259775557615 40.80405272556066, -73.95259812477879 40.80405181710928, -73.95259845725144 40.804050898737295, -73.95259875298768 40.804049979449715, -73.95259900251722 40.804049044834656, -73.95259921531101 40.80404810840349, -73.95259937240726 40.80404717104892, -73.95259949158721 40.80404622557426, -73.95259957403074 40.804045279184)))"
Plaza Lafayette,"MULTIPOLYGON (((-73.94161580491738 40.85152075694181, -73.94155884655676 40.85147776294359, -73.94155788897197 40.851477043866154, -73.94155553287061 40.85147534704681, -73.9415553539112 40.851475218185826, -73.94154653986175 40.8514688742589, -73.9415458583816 40.851468397553546, -73.94154353422446 40.85146678719727, -73.94153181505663 40.8514586822364, -73.9415295252662 40.85145710071301, -73.9415053937936 40.851441544192745, -73.94148056208033 40.851426629362706, -73.94145505500181 40.85141238865279, -73.94142891643473 40.851398823885795, -73.94142442255426 40.851396660424136, -73.94140217363399 40.851385958487995, -73.94137485029748 40.85137381498319, -73.94137341647924 40.85137387548801, -73.9413719754971 40.85137399091913, -73.94137054516115 40.85137413697231, -73.94136912190969 40.851374318148316, -73.94136771048079 40.851374540752886, -73.94136630732552 40.851374794878865, -73.9413649183646 40.851375090434665, -73.94136354597464 40.85137542201853, -73.94136218304016 40.85137578962686, -73.94136084142586 40.851376186962256, -73.9413595199339 40.851376627531415, -73.94135821502009 40.85137709602427, -73.94135693497853 40.85137760054941, -73.94135568099838 40.85137813750548, -73.9413544447783 40.851378706888276, -73.94135324291936 40.851379310507184, -73.94135224390891 40.8513798484933, -73.94135206356492 40.85137994565471, -73.94135092213257 40.85138061143826, -73.94134980320783 40.85138130514845, -73.94134871746633 40.85138202408932, -73.94134766727343 40.85138277546592, -73.94134665144814 40.85138355387476, -73.94134567354888 40.85138435841711, -73.94134472646255 40.85138518638788, -73.9413438244178 40.85138604049584, -73.941342957932 40.85138691533314, -73.94134213648849 40.851387815407136, -73.94134135297739 40.85138873441072, -73.94134060976899 40.85138967414612, -73.94133990805068 40.8513906328129, -73.94133925731055 40.851391609515495, -73.94133864806221 40.8513926033485, -73.94133808149624 40.851393608909575, -73.94133756946538 40.851394633408724, -73.94133709537336 40.851395669633526, -73.94133667700869 40.85139671759308, -73.94133629777036 40.851397775477935, -73.94133597426178 40.85139884239603, -73.94133569106859 40.8513999156381, -73.9413354647903 40.85140099881448, -73.94133540874438 40.851401348176765, -73.9413352859468 40.85140208381601, -73.94133515453572 40.85140317334406, -73.94133507174216 40.85140426829984, -73.94133504468715 40.85140536238341, -73.94133505795232 40.851406457388045, -73.9413350696073 40.85140668882034, -73.94133512813876 40.85140755512306, -73.94133524576955 40.85140864387731, -73.94133542032239 40.851409734461484, -73.94133563401907 40.851410815160094, -73.94133589515924 40.85141188777847, -73.94133621322393 40.851412959525284, -73.9413365799204 40.85141402049092, -73.94133699288015 40.851415067072246, -73.94133744497734 40.851416110971975, -73.94133795282812 40.85141713689023, -73.94133850931557 40.85141814662435, -73.94133910257577 40.85141914557124, -73.94133975159444 40.85142012113374, -73.94134043857336 40.85142108410864, -73.94137044189789 40.85143612676565, -73.94139139416698 40.8514473530357, -73.94139981490419 40.8514518651747, -73.94142853388479 40.851468287617806, -73.94145655615687 40.85148538326792, -73.94146776373003 40.8514926658279, -73.9414838746187 40.85150313681353, -73.94149318784997 40.851509578251445, -73.94149713098149 40.85151230513886, -73.9415042314634 40.8515172155184, -73.94150963831238 40.85152094899675, -73.94150973075733 40.851521012978544, -73.94151045727624 40.851521519423194, -73.94154855280918 40.851549326102585, -73.94162519077939 40.8516052593239, -73.94167278187385 40.85164000004934, -73.9416898587966 40.85165245617781, -73.94171595831962 40.85167150485922, -73.94178483377863 40.851721773560804, -73.9418004541756 40.851733174462034, -73.94180594547137 40.85173530959636, -73.94180694121513 40.851735796364125, -73.94180767383214 40.851736115507684, -73.94180797256784 40.85173624713016, -73.94180901579554 40.85173667989237, -73.94181008277309 40.85173707664684, -73.94181116163342 40.85173744639259, -73.94181226423572 40.851737789135534, -73.94181337872084 40.851738104869725, -73.94181450509654 40.85173838459025, -73.94181564335513 40.851738637302, -73.94181679349651 40.85173886300499, -73.94181697728585 40.851738894614904, -73.94181795552068 40.8517390616992, -73.94181911757636 40.85173922437376, -73.94182029152266 40.851739351034624, -73.94182147735181 40.85173945068673, -73.94182266320459 40.8517395233241, -73.94182384908886 40.8517395599418, -73.94182503499678 40.85173956954475, -73.94182622093615 40.85173954312804, -73.9418274068992 40.85173948969659, -73.94182859289373 40.851739400245464, -73.94182976705274 40.851739283773625, -73.94183094124324 40.851739131282116, -73.94183210359816 40.851738951769875, -73.94183325411758 40.85173874523691, -73.9418344046685 40.851738502684285, -73.94183553152472 40.85173823310495, -73.94183665840455 40.85173793651088, -73.9418377615975 40.8517376038852, -73.94183885295496 40.85173724423878, -73.9418399206177 40.85173685756568, -73.94184097644491 40.85173644387183, -73.9418420085774 40.85173600315128, -73.94184302888216 40.85173552640509, -73.94184401362524 40.851735031631144, -73.94184498653277 40.851734509836454, -73.94184592388643 40.851733961009096, -73.9418465883535 40.8517335561228, -73.94184684939665 40.85173339416591, -73.94184776778901 40.85173283002063, -73.94184859967956 40.85173218568801, -73.94184940905345 40.851731523334145, -73.94185018168209 40.85173084025045, -73.94185091875052 40.85173013733803, -73.94185163093597 40.85172941009981, -73.941852306369 40.851728670236184, -73.94185294624192 40.85172791054379, -73.94185355173667 40.85172713552567, -73.94185412166729 40.851726345181326, -73.9418546584064 40.85172553861139, -73.94185515720727 40.85172471941544, -73.94185561925262 40.85172389119602, -73.94185590912925 40.85172330422161, -73.94185603624811 40.85172304584459, -73.94185642478713 40.85172219417535, -73.94185675997178 40.851721328971855, -73.94185706788659 40.85172045655066, -73.94185733074136 40.85171957870384, -73.94185755565395 40.85171869273345, -73.94185773550645 40.8517178013374, -73.94185787860029 40.8517169045199, -73.94185797544661 40.85171600407708, -73.94185803552952 40.85171510361575, -73.94185805884666 40.851714205837375, -73.94185803472959 40.85171330533361, -73.94185796555007 40.85171240210569, -73.94185786078843 40.851711504262745, -73.94185771807192 40.851710612704125, -73.94185752910475 40.85170972112219, -73.94185729388143 40.85170883582036, -73.94185703256318 40.85170795590839, -73.94185672735982 40.85170708317819, -73.94185637115032 40.85170622392967, -73.94185599003262 40.851705369171015, -73.94185555434872 40.85170453059375, -73.9418550925668 40.85170370100822, -73.9418545940113 40.851702883110555, -73.94185405037842 40.85170207959806, -73.94185401010691 40.85170202284679, -73.94185348419667 40.85170129498451, -73.94185286701506 40.85170051664864, -73.9418522166097 40.851699759007374, -73.94185153891185 40.85169902026269, -73.94185082680828 40.85169829770944, -73.94185007673416 40.8516975994504, -73.94176360001356 40.85163230800676, -73.94172315860087 40.85160179963945, -73.94169362754323 40.85157950475376, -73.94161580491738 40.85152075694181)))"
Sherman Square,"MULTIPOLYGON (((-73.98244511190907 40.7773265817177, -73.98244538458123 40.77732576140159, -73.9824456205351 40.77732492577132, -73.9824458221344 40.77732409553889, -73.98244597753867 40.77732324999082, -73.98244609622066 40.77732240443721, -73.98244617936514 40.77732155797767, -73.98244622578757 40.777320710612024, -73.98244622719552 40.777319863239526, -73.98244619188094 40.77731901676191, -73.98244612103055 40.7773181630749, -73.9824460051624 40.77731732198807, -73.98244598978812 40.777317225631975, -73.98244585968018 40.777316478195196, -73.98244567155103 40.777315640699335, -73.98244544669745 40.777314811302425, -73.98244518512114 40.777313983700886, -73.9824448785282 40.77731316419707, -73.98244454587193 40.77731235369426, -73.98244416819675 40.77731156029416, -73.98244375379878 40.777310768689425, -73.98244331452197 40.77730998608598, -73.98244282904193 40.77730921968452, -73.98244230920406 40.7773084712878, -73.98244176330257 40.777307732792735, -73.98244117238403 40.777307004196274, -73.98244055658246 40.7773063008101, -73.98243991590168 40.777305608226136, -73.98243923020192 40.777304932744904, -73.98243851962106 40.7773042752699, -73.98243778415883 40.77730363670162, -73.98243701433682 40.77730302334221, -73.98243622081834 40.77730242798921, -73.98243539294147 40.777301852441994, -73.98243455084288 40.777301302106686, -73.98243367557077 40.777300770676874, -73.98243277541731 40.777300258153836, -73.98243186222436 40.77729977984782, -73.9824309158579 40.77729932044733, -73.98242995645383 40.77729888805995, -73.98242898401404 40.777298475481565, -73.98238167764082 40.77727965586367, -73.98232914425226 40.77725875616489, -73.9823280687527 40.77725834987341, -73.98232697784825 40.77725796339057, -73.98232587508859 40.77725761202551, -73.9823247509992 40.77725728767223, -73.98232361386997 40.77725699843654, -73.98232246488745 40.777256737114605, -73.98232130405187 40.77725650280591, -73.98232013136274 40.77725629731147, -73.98231894800135 40.777256133238446, -73.98231776344986 40.77725598987684, -73.98231657770445 40.777255881634595, -73.98231538128842 40.77725580851027, -73.98231418486472 40.77725576420207, -73.98231297777068 40.77725575411124, -73.9823117801459 40.77725577193744, -73.98231058369805 40.777255818579924, -73.9823093872392 40.77725590664547, -73.98230820143593 40.77725601632472, -73.9823070168062 40.777256167427204, -73.98230583454018 40.77725633924164, -73.98230466174127 40.777256547077606, -73.98230351144048 40.77725678913606, -73.98230236231683 40.77725705911031, -73.9823012262165 40.77725735610159, -73.98230011142921 40.77725768911623, -73.98229900966518 40.77725804914794, -73.98229791973985 40.77725843619654, -73.98229685349911 40.77725885026383, -73.98229580027956 40.77725929945267, -73.98229478022321 40.77725976845772, -73.98229377319012 40.77726026447978, -73.98229279102453 40.777260793824226, -73.98229183136068 40.777261343883694, -73.98229090604289 40.77726192006301, -73.9822899949352 40.77726251515504, -73.98228912883302 40.7772631435726, -73.9822882769406 40.77726379180333, -73.98228745939625 40.77726445894995, -73.98228667620043 40.777265143211324, -73.98228591905841 40.777265854491795, -73.98228519626466 40.7772665837876, -73.98228451848024 40.77726733200088, -73.98228386675225 40.777268097327685, -73.98228324108045 40.777268880668544, -73.98228266989523 40.7772696811273, -73.98228212595264 40.77727049239635, -73.98228161635883 40.77727131987962, -73.9822811541438 40.777272165380296, -73.98228071680467 40.77727301268576, -73.98228033513674 40.77727387710935, -73.98227998071192 40.777274750542105, -73.98227967248371 40.77727563298702, -73.98227940097567 40.77727652354213, -73.98227917448149 40.77727741590513, -73.98227898589208 40.77727831637849, -73.98227884231491 40.77727922496327, -73.98227873664436 40.77728013445441, -73.982278675988 40.777281044852955, -73.9822783517276 40.7772887549043, -73.98227722755153 40.7773154600293, -73.9822768174565 40.77732521330722, -73.98227482637748 40.77737334665252, -73.98227430060734 40.77738598872408, -73.9822730820947 40.77741551330696, -73.98227283529397 40.77742148630101, -73.98227084420944 40.777469618745094, -73.98226885312017 40.7775177583928, -73.98226888616193 40.77751823476359, -73.98226893460536 40.77751870393275, -73.98226900555632 40.77751917220489, -73.98226908953781 40.777519640479014, -73.98226920668822 40.77752010785777, -73.98226933805563 40.777520568034674, -73.98226949193082 40.77752102641404, -73.98226966949984 40.77752147759302, -73.98226986957664 40.77752192697443, -73.98227008387046 40.77752236915409, -73.98227032067207 40.77752280953614, -73.98227057998314 40.77752324181715, -73.98227085351364 40.777523657891344, -73.98227114955 40.777524079371965, -73.98227146809775 40.77752448554751, -73.98227179967867 40.77752488181954, -73.98227215495172 40.77752527719474, -73.98227252207504 40.77752565636269, -73.9822729022315 40.77752602562712, -73.98227330489769 40.777526385890006, -73.98227373007377 40.7775267362508, -73.98227416709992 40.77752707130491, -73.98227461715756 40.777527402758984, -73.98227508025195 40.777527710802026, -73.98227555519301 40.77752801614534, -73.98227605146137 40.77752830438241, -73.98227655010152 40.77752858271436, -73.98227707125353 40.77752884394018, -73.98227760307124 40.77752908895858, -73.98227813726098 40.77752932317134, -73.98227869277632 40.77752954658138, -73.98227925066514 40.77752975378272, -73.98227981922014 40.77752994297563, -73.98228039962561 40.77753011506081, -73.98228098951071 40.77753027634145, -73.98228158176957 40.77753042051286, -73.98228217640215 40.777530547575154, -73.98228278051438 40.77753066383281, -73.9822833952947 40.7775307548781, -73.98228400060087 40.777530836016375, -73.98228461657318 40.77753089914622, -73.98228524202679 40.77753094516798, -73.98228585919136 40.777530979481924, -73.98228647636216 40.777530990382836, -73.98228710301287 40.77753098957867, -73.98228772019134 40.777530971663516, -73.98228834685138 40.77753093573973, -73.98228896285268 40.77753088990877, -73.98228957886069 40.777530818863795, -73.98229019487134 40.77753073791327, -73.98229079904078 40.77753063895086, -73.98229140321506 40.77753052197839, -73.98229199673281 40.77753038699425, -73.98229258906828 40.77753024300491, -73.98229316956264 40.777530081003675, -73.98229375006177 40.77752990099241, -73.98229431753302 40.77752971107364, -73.98229487553395 40.77752949683979, -73.98229542998205 40.77752927900344, -73.98229596429856 40.777529036850396, -73.98229648677167 40.77752878479, -73.982297006878 40.777528523724236, -73.98229750566648 40.77752824464514, -73.98229800208831 40.777527955660155, -73.98229847600746 40.77752764956217, -73.98229893808303 40.777527334457325, -73.98229937765585 40.77752700223952, -73.98229981486215 40.7775266601158, -73.9823002295635 40.77752630898359, -73.98230063242131 40.77752594884453, -73.98230101159179 40.77752557159229, -73.98230137891679 40.77752519253723, -73.9823015614003 40.77752498184771, -73.98230172255445 40.777524796368965, -73.98230205434639 40.77752439929841, -73.98230236245071 40.777523986015154, -73.98233720339279 40.77747616568213, -73.98236701504472 40.77743525232219, -73.98237205376394 40.77742833633467, -73.98240289989553 40.77738600843421, -73.98240689460825 40.77738050697488, -73.98243048955776 40.777348129410896, -73.98243758427304 40.77733839336048, -73.98243919826989 40.777336179271174, -73.98244218333484 40.777332082440346, -73.98244270593861 40.77733132699854, -73.98244320248182 40.77733056975166, -73.9824436528324 40.77732978818425, -73.98244406883062 40.77732900391009, -73.98244445877201 40.77732820342294, -73.98244480369968 40.77732740022736, -73.98244511190907 40.7773265817177)))"
Straus Square,"MULTIPOLYGON (((-73.99005903844144 40.71432281687234, -73.9900722276334 40.714326798266484, -73.99007316133468 40.71432718376546, -73.9900741092426 40.714327535946765, -73.99007507845708 40.71432786111458, -73.99007606069267 40.714328166472285, -73.99007705476703 40.71432844481572, -73.990078060681 40.71432868984123, -73.99007907843269 40.714328915056534, -73.9900800985555 40.71432911235624, -73.9900811388013 40.71432928264232, -73.99008218023556 40.71432941960963, -73.99008323232417 40.71432953586612, -73.99008428560126 40.71432961790328, -73.99008533888137 40.714329680129225, -73.99008639335003 40.71432970813586, -73.99008745729063 40.714329708227474, -73.9900885117676 40.71432968040245, -73.99008956624843 40.7143296264626, -73.99009061836637 40.71432954550724, -73.99009167048935 40.71432943033244, -73.99009271196431 40.71432929354453, -73.99009374397538 40.71432913064089, -73.990094772441 40.71432893441815, -73.99009579144204 40.71432871658227, -73.99009679742987 40.71432846542645, -73.99009780105351 40.71432819535964, -73.99009877391218 40.71432789017028, -73.9900997432233 40.71432756516941, -73.99010070070364 40.71432721405268, -73.99010163688531 40.71432683681928, -73.9901025494005 40.71432643977266, -73.9901034477191 40.71432600850545, -73.99010433420568 40.71432555922693, -73.99010518755799 40.71432509013437, -73.99010602671267 40.71432459402525, -73.99010683391624 40.7143240799032, -73.99010762573846 40.71432354056549, -73.9901083832428 40.714322982314116, -73.99010912891491 40.71432240695203, -73.99010983790347 40.71432180457149, -73.99011051494006 40.714321190481535, -73.99011116594272 40.71432055927966, -73.99011179209614 40.71431990376188, -73.99011238511396 40.714319237435106, -73.99011295209797 40.71431855399641, -73.99011348357939 40.71431785974853, -73.99011398192621 40.714317148388105, -73.99011444358675 40.71431642801944, -73.99011488158031 40.71431569053898, -73.99011528288781 40.71431494314979, -73.99011564869159 40.71431419305606, -73.9901159718936 40.714313421346404, -73.99011626669157 40.71431265413681, -73.99011652717134 40.71431187071515, -73.99011675214817 40.7143110791858, -73.99011694043756 40.71431028675279, -73.99011708493859 40.71430949341552, -73.99011720222106 40.71430869197133, -73.99011727453173 40.71430788962276, -73.990117320807 40.71430708096839, -73.99011732092596 40.714306278613634, -73.99011728554187 40.71430546905172, -73.99011721465246 40.71430466759137, -73.99011710825894 40.71430386612798, -73.9901128020362 40.714277051259685, -73.99011224868312 40.71427360675981, -73.99010970657262 40.7142577665632, -73.99010161907509 40.714207690284724, -73.99010050527042 40.71420080128423, -73.9900958372279 40.71417191250825, -73.99009350557922 40.71415744020457, -73.99009331873967 40.71415644152246, -73.9900930928445 40.71415545094153, -73.99009281014165 40.714154468460315, -73.99009249193455 40.714153487777104, -73.9900921252028 40.71415252329883, -73.99009172059982 40.71415156061837, -73.99009127102254 40.71415061504374, -73.99009077528858 40.714149679370735, -73.99009024168117 40.71414875990366, -73.9900896619159 40.71414785844278, -73.99008903717727 40.714146967784195, -73.9900883840329 40.714146094232845, -73.99008767644628 40.714145238687, -73.99008694163727 40.71414440114906, -73.99008616185279 40.714143588821486, -73.99008535603014 40.71414278909885, -73.99008450404726 40.7141420226911, -73.9900836177421 40.71414126798701, -73.99008270539574 40.71414054659953, -73.9900817563591 40.71413984411968, -73.99008077536479 40.71413916865232, -73.99007975886256 40.71413851929671, -73.99007871750345 40.71413789785477, -73.99007765128748 40.71413730342598, -73.99007655311368 40.714136736910255, -73.99007543836741 40.71413619740843, -73.9900742916624 40.71413569212323, -73.99007312128285 40.71413522195585, -73.99007193669846 40.714134773399515, -73.9900707296231 40.714134359060616, -73.99006950952439 40.714133979840504, -73.99006826575098 40.71413363663867, -73.99006700303791 40.71413332135109, -73.99006573558671 40.71413303487942, -73.99006445629453 40.714132790730694, -73.99006315687913 40.71413257539654, -73.99006185509153 40.714132395182084, -73.99006055093162 40.71413225098782, -73.99005922783088 40.71413214281232, -73.9900579130092 40.71413206975744, -73.990056587532 40.71413202551794, -73.9900552620484 40.71413202450296, -73.99005394721166 40.714132052305175, -73.99005262290191 40.71413211522649, -73.9900513092368 40.71413222227371, -73.99003266226975 40.714133896510695, -73.99001994810521 40.71413503815689, -73.98999438249047 40.714137335841386, -73.98998819523743 40.71413789181893, -73.98992408591354 40.71414367560726, -73.98989292714488 40.714146486971, -73.98985998604633 40.714149459360684, -73.98979587670131 40.7141552358735, -73.98979135460772 40.71415564070228, -73.9897831234742 40.714156377490134, -73.98977698947468 40.71415692715746, -73.98973058623173 40.71416109149016, -73.98972918735012 40.71416123544705, -73.98972778017858 40.71416141632411, -73.98972639430292 40.714161639527035, -73.98972501078944 40.71416189334752, -73.98972364857202 40.71416218859333, -73.98972228990029 40.7141625144568, -73.9897209513422 40.714162874541444, -73.98971963644667 40.71416327875324, -73.98971833456481 40.7141637117825, -73.98971825763509 40.71416373969143, -73.98971705753037 40.71416417993386, -73.98971579232513 40.71416468320618, -73.9897145602526 40.71416521529775, -73.98971335302741 40.71416578251148, -73.98971216946602 40.714166385747696, -73.98971102140453 40.714167016002364, -73.98970989582361 40.71416768047848, -73.98970879745904 40.714168366569226, -73.98970774287768 40.7141690859828, -73.98970671314483 40.71416983331441, -73.98970571891186 40.714170607664435, -73.98970476136215 40.71417140903309, -73.98970384759801 40.714172228415876, -73.98970296104928 40.714173075716886, -73.9897021206519 40.71417394823633, -73.98970131693899 40.71417484057027, -73.98970055819404 40.714175757222, -73.98969984796955 40.7141766855847, -73.98969917324501 40.7141776400654, -73.98969854467416 40.71417860445579, -73.98969795397059 40.714179593163394, -73.98969741060388 40.714180593581844, -73.98969692404229 40.71418160301049, -73.98969647416556 40.71418262955211, -73.9896960728096 40.71418366510319, -73.9896957270742 40.71418471686843, -73.98969542039279 40.71418577133868, -73.98969516104891 40.71418683391777, -73.98969495851007 40.714187905507025, -73.98969480331002 40.71418897710054, -73.98969469663075 40.71419005770351, -73.98969463729026 40.71419113831072, -73.98969462647193 40.714192218922236, -73.98969466299242 40.71419329953802, -73.9896947563206 40.7141943720543, -73.98969489816993 40.71419545177901, -73.98969508735925 40.71419652340335, -73.98969532388874 40.7141975860268, -73.9896956089405 40.71419864865462, -73.98969594961787 40.71419969417772, -73.98969632935002 40.714200737903305, -73.98969672448135 40.7142016906787, -73.98969675523999 40.71420176542381, -73.98969724030496 40.714202783043966, -73.98969776087553 40.714203790761744, -73.98969832878753 40.71420478137404, -73.98969894404095 40.714205754880844, -73.98969960545256 40.71420670948108, -73.98970030473676 40.714207654179084, -73.9897010501803 40.7142085727664, -73.98970183231422 40.7142094733468, -73.98970265942398 40.71421034781641, -73.98970353387436 40.714211210583585, -73.98970443554965 40.714212040034326, -73.98970538101644 40.714212849677764, -73.9897063619913 40.71421363320951, -73.98970737019131 40.714214382524354, -73.98970842336615 40.71421511203197, -73.98970950968243 40.71421581452716, -73.98971062203925 40.714216489108935, -73.98971175925448 40.714217128572955, -73.9897129319779 40.714217741024854, -73.9897141366606 40.71421831745916, -73.98971535673256 40.7142188668795, -73.98971660994722 40.71421938028239, -73.98971787736897 40.71421985856668, -73.98971917793236 40.7142203080375, -73.98972049152059 40.714220714284984, -73.98976127317529 40.7142329468508, -73.98978419710808 40.714239825184855, -73.98978561602286 40.714240251252214, -73.98984293946947 40.71425755693018, -73.98990025466061 40.71427486888242, -73.98995757816576 40.71429218080682, -73.99001490288411 40.71430949360324, -73.99002779148267 40.714313384925376, -73.99003563399036 40.71431575214583, -73.99005903844144 40.71432281687234)))"
