8,40.76481,-73.97335
9,40.76466,-73.98066
10,40.7599,-73.98414
13,40.74549,-73.98869
14,40.7413,-73.98934
16,40.73033,-73.99263
17,40.72433,-73.9977
20,40.71328,-74.00698
22,40.70722,-74.01334
103,40.72028,-73.99391
107,40.70647,-74.01105
118,40.73285,-73.98612
119,40.73095,-73.98163
143,40.86807,-73.9199
144,40.86549,-73.92727
145,40.85902,-73.93418
146,40.8517,-73.93797
147,40.84739,-73.9397
149,40.83601,-73.9399
150,40.83052,-73.94151
151,40.82478,-73.94421
152,40.81789,-73.94765
153,40.81111,-73.95235
154,40.80508,-73.95488
155,40.8006,-73.95816
156,40.79609,-73.96146
157,40.79164,-73.9647
158,40.78587,-73.96892
159,40.78143,-73.97215
160,40.77559,-73.97641
162,40.76245,-73.98598
164,40.75229,-73.99339
165,40.74591,-73.99804
167,40.73234,-74.0005
168,40.72623,-74.00374
169,40.72083,-74.00523
220,40.83014,-73.93821
222,40.75914,-73.95326
223,40.76463,-73.96611
224,40.76397,-73.97745
225,40.75866,-73.98133
228,40.74288,-73.99282
231,40.71827,-73.99375
232,40.7234,-73.98994
234,40.71371,-73.99017
276,40.76017,-73.97523
277,40.76286,-73.98164
296,40.87456,-73.90983
297,40.86945,-73.91528
298,40.86462,-73.91882
299,40.86053,-73.92554
300,40.85522,-73.92941
301,40.84951,-73.93359
303,40.83404,-73.94489
304,40.82655,-73.95036
305,40.82201,-73.95367
306,40.81558,-73.95837
307,40.80772,-73.96411
308,40.80397,-73.96685
309,40.79945,-73.96838
310,40.79392,-73.97232
311,40.78864,-73.97622
312,40.78394,-73.97992
313,40.77845,-73.98197
314,40.77344,-73.98221
316,40.76173,-73.98385
318,40.75037,-73.99106
319,40.74722,-73.99336
320,40.74408,-73.99566
321,40.74104,-73.99787
323,40.73342,-74.00291
324,40.72825,-74.00536
325,40.72285,-74.00628
326,40.71932,-74.00689
327,40.71548,-74.00927
328,40.71183,-74.01219
329,40.70751,-74.01379
333,40.70682,-74.0091
392,40.80414,-73.93759
393,40.79863,-73.94162
394,40.79502,-73.94425
395,40.7906,-73.94748
396,40.78567,-73.95107
397,40.77949,-73.95559
398,40.77362,-73.95988
399,40.76814,-73.96387
403,40.74608,-73.98208
404,40.74307,-73.98426
405,40.73986,-73.9866
407,40.73005,-73.99107
409,40.7223,-73.99714
413,40.70756,-74.01186
414,40.70482,-74.01407
436,40.82388,-73.93647
437,40.82042,-73.93625
438,40.81423,-73.94077
439,40.80775,-73.9455
440,40.8021,-73.94962
441,40.79908,-73.95182
471,40.75588,-74.00191
475,40.78432,-73.94715
476,40.77789,-73.95179
477,40.7688,-73.95843
601,40.73823,-73.99621
602,40.73574,-73.98995
605,40.84072,-73.93956
607,40.74972,-73.98782
609,40.75422,-73.98196
610,40.75178,-73.97684
611,40.75731,-73.98676
612,40.75755,-73.96906
613,40.76266,-73.96725
614,40.7683,-73.98174
618,40.74089,-74.00169
619,40.72591,-73.99466
622,40.71324,-74.0034
623,40.71953,-73.99989
624,40.71411,-74.00858
625,40.71861,-73.98743
628,40.71037,-74.00657
635,40.70309,-74.01299
TRAM1,40.76134,-73.96416
TRAM2,40.75734,-73.95411
