MULTILINESTRING ((-73.97579823470531 40.74064461681907, -73.97441351866321 40.740075163612744));EAST 29 STREET;3
MULTILINESTRING ((-73.93525789432428 40.82662838607862, -73.93539079504956 40.82668313329919));WEST 153 STREET;4
MULTILINESTRING ((-73.95206219664077 40.82707978738205, -73.95260504991029 40.827286480933424));WEST 145 STREET;2
MULTILINESTRING ((-73.95206219664077 40.82707978738205, -73.95260504991029 40.827286480933424));WEST 145 STREET;2
MULTILINESTRING ((-73.98846189505852 40.77404470233028, -73.98856594375725 40.77408975855301));WEST 63 STREET;3
MULTILINESTRING ((-73.98773807908778 40.7737312652068, -73.98800196634228 40.77384553887941));WEST 63 STREET;3
MULTILINESTRING ((-73.98773807908778 40.7737312652068, -73.98800196634228 40.77384553887941));WEST 63 STREET;3
MULTILINESTRING ((-73.98756150766116 40.77365480259546, -73.9875921678141 40.77366807931302));WEST 63 STREET;3
MULTILINESTRING ((-73.98763892676203 40.77368832764248, -73.98773807908778 40.7737312652068));WEST 63 STREET;3
MULTILINESTRING ((-73.98800196634228 40.77384553887941, -73.98814206753774 40.773906206749366));WEST 63 STREET;3
MULTILINESTRING ((-73.93220061823797 40.79635950802496, -73.93128862778974 40.79596891821366));EAST 118 STREET;3
MULTILINESTRING ((-73.92937624666422 40.85148727852796, -73.92971563664175 40.851065506353436));WASHINGTON TERRACE;4
MULTILINESTRING ((-73.9537119121409 40.82727549063605, -73.954157923586 40.82724363818039));WEST 145 STREET;2
MULTILINESTRING ((-73.95360670739089 40.8272830035155, -73.9537119121409 40.82727549063605));WEST 145 STREET;2
MULTILINESTRING ((-74.00447344066367 40.71152671003683, -74.00451447278347 40.7115520470061, -74.00455553925153 40.71157735244141, -74.00459664006773 40.711602625442275, -74.00463777404869 40.71162786510809, -74.00467894356134 40.71165307414032, -74.00472014623868 40.711678249837526, -74.00476138326411 40.7117033931001, -74.0048314427179 40.71174598793983, -74.00490159811196 40.711788489980044, -74.00497185299633 40.711830898319825, -74.00504220382065 40.71187321295922, -74.00511265295164 40.711915433897865, -74.00518319802235 40.71195756113577, -74.00525384139958 40.71199959467262));FRANKFORT STREET;3
MULTILINESTRING ((-73.99928135455536 40.70876580398099, -73.99865121392514 40.70886121827491));SOUTH STREET;4
MULTILINESTRING ((-73.99928135455536 40.70876580398099, -73.99865121392514 40.70886121827491));SOUTH STREET;4
MULTILINESTRING ((-73.99863026623167 40.71350676221464, -73.99858062693397 40.71346976143778));WORTH STREET;3
MULTILINESTRING ((-73.94463158316023 40.797398719415206, -73.94442935658041 40.797675234894186));PARK AVENUE;4
MULTILINESTRING ((-73.93625935997899 40.8088556085834, -73.9361310724062 40.80880206600468));EAST 131 STREET;4
MULTILINESTRING ((-73.96081441993397 40.81845889992732, -73.96091059406615 40.81856487599208));WEST 125 STREET;3
MULTILINESTRING ((-73.96157544167615 40.81790997017937, -73.96163613619781 40.81793985085848));ST CLAIR PLACE;3
MULTILINESTRING ((-73.95302696998829 40.802533137495026, -73.95266813393657 40.803024987295245));ADAM CLAYTON POWELL JR BOULEVARD;3
MULTILINESTRING ((-74.00879080555238 40.74237514311575, -74.00861244327112 40.743211205203885));11 AVENUE;3
MULTILINESTRING ((-74.00762904186809 40.72349770377275, -74.00791206090729 40.72369976706067));CANAL STREET;3
MULTILINESTRING ((-74.0044846359433 40.724896354586136, -74.00437244443239 40.725371619686726));AVENUE OF THE AMERICAS;2
MULTILINESTRING ((-74.00437244443239 40.725371619686726, -74.00403067968269 40.72551249518789));AVENUE OF THE AMERICAS;2
MULTILINESTRING ((-74.00437244443239 40.725371619686726, -74.004551934319 40.72555881595647));AVENUE OF THE AMERICAS;2
MULTILINESTRING ((-73.9899704341117 40.73537089179315, -73.98986198889538 40.735326099142014));EAST 15 STREET;3
MULTILINESTRING ((-73.98987421380659 40.73540825804987, -73.98945472120609 40.73598724691183));UNION SQUARE EAST;1
MULTILINESTRING ((-73.98986198889538 40.735326099142014, -73.98987421380659 40.73540825804987));UNION SQUARE EAST;1
MULTILINESTRING ((-73.98987421380659 40.73540825804987, -73.98945472120609 40.73598724691183));UNION SQUARE EAST;1
MULTILINESTRING ((-73.98987421380659 40.73540825804987, -73.98945472120609 40.73598724691183));UNION SQUARE EAST;1
MULTILINESTRING ((-74.00836775262137 40.75030818612698, -74.0083125978633 40.75060170011718, -74.00824071078566 40.75089354212701, -74.00815225684981 40.751182880046166, -74.00804748441978 40.751468906065824, -74.00792671173926 40.751750827674805));JOE DIMAGGIO HIGHWAY;3
MULTILINESTRING ((-74.0076659832628 40.752424072388685, -74.00740710309148 40.75314319708648));12 AVENUE;4
MULTILINESTRING ((-74.00345314049393 40.75903390301103, -74.00329925559969 40.75924392234424));12 AVENUE;4
MULTILINESTRING ((-74.00038791501026 40.762580968612774, -73.99965105852513 40.76311591330775));12 AVENUE;3
MULTILINESTRING ((-73.9990475002816 40.763656644668686, -73.99873440293365 40.764074399937776));12 AVENUE;4
MULTILINESTRING ((-73.99873440293365 40.764074399937776, -73.9985803447486 40.764279950812174));12 AVENUE;4
MULTILINESTRING ((-73.9963278304713 40.76739738245828, -73.99584888476181 40.76803398624848));12 AVENUE;4
MULTILINESTRING ((-73.9945473821062 40.770742241044005, -73.99434695519427 40.77146493021322));12 AVENUE;4
MULTILINESTRING ((-73.99350262242092 40.7727516325079, -73.99341045499592 40.77287889535587));JOE DIMAGGIO HIGHWAY;4
MULTILINESTRING ((-73.98208835869136 40.77790596313466, -73.98198939910499 40.77804313202614));AMSTERDAM AVENUE;2
MULTILINESTRING ((-73.9698245530404 40.76864600894427, -73.96999439575438 40.768710736471725, -73.97017502238937 40.76876121156893, -73.97036321536626 40.76879601056242, -73.97055539435831 40.76881433105224, -73.97074781767716 40.768815955947865, -73.9709368357209 40.768801343584435));65 ST TRANSVERSE;4
MULTILINESTRING ((-73.9709368357209 40.768801343584435, -73.9715485886272 40.768771950751805));65 ST TRANSVERSE;4
MULTILINESTRING ((-73.96136872718249 40.78022974949781, -73.96091016170163 40.780857035825065));5 AVENUE;2
MULTILINESTRING ((-73.94505127968087 40.802598598860335, -73.9434358524048 40.801919264483296));EAST 119 STREET;3
MULTILINESTRING ((-73.96068717864999 40.817510516586815, -73.96035728962126 40.81795912113357));12 AVENUE;4
MULTILINESTRING ((-73.92109663029555 40.86015972955884, -73.92123475238412 40.86047629228435));ACADEMY STREET;4
MULTILINESTRING ((-73.96023645555783 40.81812306896824, -73.95999682644015 40.81844757098086));RIVERSIDE DRIVE;4
MULTILINESTRING ((-73.9588680588652 40.82000286613801, -73.95841539439314 40.82062570764387));12 AVENUE;4
MULTILINESTRING ((-73.96311838159335 40.7609248596839, -73.96286875073739 40.760824179621444));EAST 60 STREET;2
MULTILINESTRING ((-73.969807196935 40.74885156638164, -73.96959343188169 40.749139320919994));1 AVENUE;2
MULTILINESTRING ((-74.01318960130715 40.71602008572431, -74.01307935595352 40.71646715027883));WEST STREET;3
MULTILINESTRING ((-73.97817913933851 40.73593284760885, -73.97774316089567 40.735444329633324));PETER COOPER ROAD;4
MULTILINESTRING ((-73.93967750355473 40.79113575602031, -73.93913198111422 40.790904958157476));EAST 108 STREET;4
MULTILINESTRING ((-73.95682707644902 40.81261153028801, -73.95730665386998 40.81281861796911));LA SALLE STREET;3
MULTILINESTRING ((-74.00090318368443 40.748817874404935, -74.00129802531855 40.74896940599929));WEST 26 STREET;3
MULTILINESTRING ((-73.92957984666805 40.797898069711614, -73.92955669355582 40.79773928034604, -73.92954308731412 40.79749577688531, -73.92955118745482 40.797252971061965));PALADINO AVENUE;4
MULTILINESTRING ((-73.93160238030389 40.80054824298539, -73.93158330332363 40.80053977777641));PALADINO AVENUE;4
MULTILINESTRING ((-73.94005379451171 40.82537870830795, -73.9398603826349 40.825647981868634));FREDERICK DOUGLASS BOULEVARD;3
MULTILINESTRING ((-73.93620957865556 40.814673849794616, -73.93613554339963 40.814788126937884));5 AVENUE;4
MULTILINESTRING ((-73.97685248757578 40.73496920367943, -73.97652298100815 40.73512576591644));PETER COOPER ROAD;4
MULTILINESTRING ((-73.93433939074114 40.81692870640112, -73.93445400187721 40.81718852805833));HARLEM RIVER DRIVE;4
MULTILINESTRING ((-73.9638612634733 40.802972038116174, -73.96367946999925 40.8032219981695));AMSTERDAM AVENUE;3
MULTILINESTRING ((-73.9349376702178 40.82816017364631, -73.93507785797266 40.82823502347685));WEST 155 STREET;4
MULTILINESTRING ((-73.9411006816611 40.80925235143856, -73.94354580329302 40.8102842189028));WEST 129 STREET;3
MULTILINESTRING ((-73.9411006816611 40.80925235143856, -73.94354580329302 40.8102842189028));WEST 129 STREET;3
MULTILINESTRING ((-73.97545932526644 40.77689872243127, -73.97628761663425 40.77724807286477));WEST 73 STREET;3
MULTILINESTRING ((-74.00107518013058 40.74683561103774, -74.0008482682784 40.7471467738983));9 AVENUE;2
MULTILINESTRING ((-73.93273896259426 40.862941685176985, -73.9326984708589 40.86305547448213, -73.93263668305644 40.863164901973576, -73.93255511719548 40.86326659166789, -73.93245651729796 40.86335763654777));MARGARET CORBIN DRIVE;4
